held_out,tau,coverage,accepted_accuracy,unknown_rejection_rate,known_false_rejection_rate
"Worms, Analysis, Shellcode",0.0,1.0,0.986,0.0,0.0
"Worms, Analysis, Shellcode",0.5,0.9807,0.9951,0.7437,0.0182
"Worms, Analysis, Shellcode",0.7,0.9657,0.999,0.9575,0.0328
"Worms, Analysis, Shellcode",0.85,0.9572,0.9997,0.9947,0.0413
"Worms, Analysis, Shellcode",0.9,0.953,0.9998,0.9987,0.0455
"Worms, Analysis, Shellcode",0.95,0.9492,1.0,1.0,0.0493
"Backdoor, DoS, Fuzzers",0.0,1.0,0.9934,0.0,0.0
"Backdoor, DoS, Fuzzers",0.5,0.9873,0.996,0.4508,0.0043
"Backdoor, DoS, Fuzzers",0.7,0.9754,0.998,0.8114,0.0095
"Backdoor, DoS, Fuzzers",0.85,0.9695,0.9989,0.9032,0.0138
"Backdoor, DoS, Fuzzers",0.9,0.9673,0.9992,0.9226,0.0156
"Backdoor, DoS, Fuzzers",0.95,0.9642,0.9999,0.9476,0.0183
